,Country,Happiness,GDP per Capita,Social Support,Life Expectancy,Freedom,Corruption,Generosity,Year,latitude,longitude
114,Luxembourg,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,2017,49.815273,6.129583
115,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018,49.815273,6.129583
116,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,49.815273,6.129583
117,Luxembourg,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,2020,49.815273,6.129583
118,Luxembourg,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,2021,49.815273,6.129583
119,Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,2015,53.41291,-8.24389
120,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2016,53.41291,-8.24389
121,Ireland,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,2017,53.41291,-8.24389
122,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018,53.41291,-8.24389
123,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019,53.41291,-8.24389
124,Ireland,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,2020,53.41291,-8.24389
125,Ireland,7.085,11.342,0.947,72.4,0.879,0.077,0.363,2021,53.41291,-8.24389
126,Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2015,50.503887,4.469936
127,Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2016,50.503887,4.469936
128,Belgium,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,2017,50.503887,4.469936
129,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018,50.503887,4.469936
130,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,50.503887,4.469936
131,Belgium,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,2020,50.503887,4.469936
132,Belgium,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,2021,50.503887,4.469936
133,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2015,23.424076,53.847818
134,United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2016,23.424076,53.847818
135,United Arab Emirates,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564,2017,23.424076,53.847818
136,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,,2018,23.424076,53.847818
137,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019,23.424076,53.847818
138,United Arab Emirates,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,2020,23.424076,53.847818
139,United Arab Emirates,6.561,11.085,0.844,67.333,0.932,0.074,0.589,2021,23.424076,53.847818
140,United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,2015,55.378051,-3.435973
141,United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2016,55.378051,-3.435973
142,United Kingdom,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,2017,55.378051,-3.435973
143,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018,55.378051,-3.435973
144,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019,55.378051,-3.435973
145,United Kingdom,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,2020,55.378051,-3.435973
146,United Kingdom,7.064,10.707,0.934,72.5,0.859,0.233,0.459,2021,55.378051,-3.435973
147,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2015,,
148,Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,2015,6.42375,-66.58973
149,Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2016,6.42375,-66.58973
150,Venezuela,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,2017,6.42375,-66.58973
151,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,2018,6.42375,-66.58973
152,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019,6.42375,-66.58973
153,Venezuela,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,2020,6.42375,-66.58973
154,Venezuela,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,2021,6.42375,-66.58973
155,Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,2015,1.352083,103.819836
156,Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,2016,1.352083,103.819836
157,Singapore,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,2017,1.352083,103.819836
158,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018,1.352083,103.819836
159,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019,1.352083,103.819836
160,Singapore,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,2020,1.352083,103.819836
161,Singapore,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,2021,1.352083,103.819836
162,Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2015,8.537981,-80.782127
163,Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,2016,8.537981,-80.782127
164,Panama,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2017,8.537981,-80.782127
165,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018,8.537981,-80.782127
166,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019,8.537981,-80.782127
167,Panama,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,2020,8.537981,-80.782127
168,Panama,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,2021,8.537981,-80.782127
169,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2015,51.165691,10.451526
170,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2016,51.165691,10.451526
171,Germany,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,2017,51.165691,10.451526
172,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018,51.165691,10.451526
173,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019,51.165691,10.451526
174,Germany,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,2020,51.165691,10.451526
175,Germany,7.155,10.873,0.903,72.5,0.875,0.011,0.46,2021,51.165691,10.451526
176,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2015,-35.675147,-71.542969
177,Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2016,-35.675147,-71.542969
178,Chile,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,2017,-35.675147,-71.542969
179,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018,-35.675147,-71.542969
180,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019,-35.675147,-71.542969
181,Chile,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,2020,-35.675147,-71.542969
182,Chile,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,2021,-35.675147,-71.542969
183,Qatar,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,2015,25.354826,51.183884
184,Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,2016,25.354826,51.183884
185,Qatar,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,2017,25.354826,51.183884
186,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018,25.354826,51.183884
187,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019,25.354826,51.183884
188,France,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2015,46.227638,2.213749
189,France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2016,46.227638,2.213749
190,France,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428,2017,46.227638,2.213749
191,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018,46.227638,2.213749
192,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019,46.227638,2.213749
